case_id,description,assistance_category,people_affected,country,governorate,city,latitude,longitude,severity,urgency,required_resources,estimated_funding,current_funding,submission_date,status,priority
CASE-0124,A 3-person household needs food parcels after flash flooding disrupted its income.,Food,3,Lebanon,Beirut,Beirut,33.887211,35.514008,Medium,Medium,food parcels; cooking staples; infant nutrition,2133.84,2129.64,2025-11-11,Completed,Low
CASE-0125,Children need school materials and fee support after earthquake damage interrupted household income.,Education,4,Jordan,Irbid,Irbid,32.53213,35.828173,Medium,High,school kits; uniforms; learning materials,3253.12,1894.74,2025-10-21,Active,Medium
CASE-0126,Housing repairs and safe temporary accommodation are needed following local displacement.,Emergency Housing,5,Egypt,Aswan,Aswan,24.093975,32.897116,Medium,Medium,temporary shelter; repair materials; mattresses,2679.20,2254.78,2025-08-18,Funded,Medium
CASE-0127,A community requires emergency water deliveries because earthquake damage disrupted access to safe water.,Water,26,Egypt,Giza,6th of October,29.973328,30.90195,High,Critical,clean water; filtration kits; storage containers,12236.84,1212.32,2025-11-14,Active,High
CASE-0128,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,8,Egypt,Giza,6th of October,29.962953,30.928462,Medium,Medium,school kits; uniforms; learning materials,4455.36,4190.93,2025-12-17,Funded,Low
CASE-0129,Children need school materials and fee support after earthquake damage interrupted household income.,Education,8,Egypt,Giza,6th of October,29.977067,30.949483,Low,Critical,school kits; uniforms; learning materials,5376.08,5140.12,2026-07-27,Completed,Low
CASE-0130,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,6,Egypt,Cairo,Cairo,30.030835,31.215164,Medium,Low,medicines; clinic visits; medical transport,4496.16,4335.25,2025-09-04,Completed,Low
CASE-0131,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,106,Egypt,Giza,6th of October,29.988591,30.925505,High,Medium,clean water; filtration kits; storage containers,64396.64,6878.89,2026-08-19,Active,High
CASE-0132,"Families need seasonal clothing, blankets, and basic hygiene items after a severe storm.",Clothing,30,Jordan,Amman,Amman,31.929512,35.937187,High,Medium,seasonal clothing; blankets; hygiene kits,16724.40,3406.26,2025-09-06,Active,High
CASE-0133,A 48-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,48,Jordan,Irbid,Irbid,32.534482,35.829406,High,Medium,temporary shelter; repair materials; mattresses,27997.20,2821.30,2026-02-03,Active,High
CASE-0134,People displaced by a house fire require clothing and blankets while they recover.,Clothing,2,Lebanon,Beirut,Beirut,33.909838,35.512211,Medium,Medium,seasonal clothing; blankets; hygiene kits,2015.52,1927.72,2026-03-17,Completed,Low
CASE-0135,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,43,Egypt,Alexandria,Alexandria,31.215172,29.924869,High,Critical,clean water; filtration kits; storage containers,34098.68,1532.97,2026-01-26,Active,High
CASE-0136,Children need school materials and fee support after a severe storm interrupted household income.,Education,7,Egypt,Alexandria,Alexandria,31.176194,29.89754,Medium,Medium,school kits; uniforms; learning materials,5403.28,4394.08,2025-10-13,Funded,Low
CASE-0137,Education support is needed for children whose learning was disrupted by local displacement.,Education,43,Jordan,Amman,Amman,31.928635,35.905053,High,Medium,school kits; uniforms; learning materials,29132.18,4485.57,2025-06-25,Active,High
CASE-0138,A 12-person family needs temporary shelter after a house fire made their home unsafe.,Emergency Housing,12,Lebanon,Beirut,Beirut,33.880878,35.47905,High,Low,temporary shelter; repair materials; mattresses,9960.72,1472.31,2026-05-12,Active,High
CASE-0139,Education support is needed for children whose learning was disrupted by flash flooding.,Education,34,Tunisia,Tunis,Tunis,36.824616,10.169176,High,Medium,school kits; uniforms; learning materials,16727.48,8385.95,2025-06-23,Active,Medium
CASE-0140,A 14-person household needs food parcels after local displacement disrupted its income.,Food,14,Egypt,Aswan,Aswan,24.109515,32.891099,High,Medium,food parcels; cooking staples; infant nutrition,7897.12,4112.88,2025-06-02,Active,Medium
CASE-0141,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,24,Jordan,Amman,Amman,31.964113,35.951044,High,High,medicines; clinic visits; medical transport,8112.72,0.00,2026-09-03,Under Review,High
CASE-0142,Housing repairs and safe temporary accommodation are needed following a severe storm.,Emergency Housing,4,Jordan,Amman,Amman,31.923916,35.939444,Medium,Medium,temporary shelter; repair materials; mattresses,3954.88,1208.17,2026-05-24,Active,Medium
CASE-0143,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,23,Egypt,Cairo,Cairo,30.036548,31.212221,High,High,medicines; clinic visits; medical transport,18493.86,2201.23,2026-03-30,Active,High
CASE-0144,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,4,Tunisia,Tunis,Tunis,36.822942,10.181931,Low,High,medicines; clinic visits; medical transport,2435.52,0.00,2026-08-22,Active,Medium
CASE-0145,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,33,Jordan,Irbid,Irbid,32.554425,35.837557,Critical,High,clean water; filtration kits; storage containers,29984.76,8672.82,2025-07-25,Active,High
CASE-0146,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,99,Egypt,Alexandria,Alexandria,31.179623,29.90266,Low,Critical,clean water; filtration kits; storage containers,51060.96,0.00,2025-07-17,Active,High
CASE-0147,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,42,Tunisia,Tunis,Tunis,36.819583,10.187122,High,Critical,seasonal clothing; blankets; hygiene kits,20790.00,1776.52,2026-03-31,Active,High
CASE-0148,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,98,Tunisia,Tunis,Tunis,36.782066,10.191288,Medium,High,clean water; filtration kits; storage containers,39875.20,4153.76,2025-08-03,Active,High
CASE-0149,A community requires emergency water deliveries because flash flooding disrupted access to safe water.,Water,111,Egypt,Aswan,Aswan,24.104009,32.875188,Medium,Low,clean water; filtration kits; storage containers,46964.88,2886.45,2026-02-07,Active,Medium
CASE-0150,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,90,Egypt,Giza,6th of October,29.963409,30.922242,Medium,Medium,clean water; filtration kits; storage containers,40881.60,3450.44,2025-09-03,Active,High
CASE-0151,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,42,Egypt,Giza,6th of October,29.952001,30.917217,High,Critical,medicines; clinic visits; medical transport,23377.20,1757.90,2026-05-03,Active,Critical
CASE-0152,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,22,Lebanon,Beirut,Beirut,33.902149,35.516436,Medium,Medium,clean water; filtration kits; storage containers,10977.92,4792.22,2026-08-08,Active,Medium
CASE-0153,Children need school materials and fee support after local displacement interrupted household income.,Education,12,Egypt,Aswan,Aswan,24.095154,32.91376,Medium,Critical,school kits; uniforms; learning materials,6625.92,387.78,2026-02-23,Active,High
CASE-0154,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,39,Egypt,Alexandria,Alexandria,31.218794,29.901788,High,High,seasonal clothing; blankets; hygiene kits,21085.68,1288.83,2026-02-15,Active,High
CASE-0155,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,56,Egypt,Alexandria,Alexandria,31.1943,29.940553,High,Medium,clean water; filtration kits; storage containers,28292.88,500.41,2025-07-06,Active,High
CASE-0156,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,41,Jordan,Irbid,Irbid,32.533855,35.834963,High,Low,clean water; filtration kits; storage containers,22348.48,1272.07,2026-03-23,Active,Medium
CASE-0157,Education support is needed for children whose learning was disrupted by a severe storm.,Education,19,Egypt,Aswan,Aswan,24.112519,32.914411,High,Low,school kits; uniforms; learning materials,10076.22,6115.98,2026-03-05,Active,Medium
CASE-0158,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,28,Tunisia,Tunis,Tunis,36.782743,10.175786,High,Medium,medicines; clinic visits; medical transport,18806.48,2317.00,2025-06-06,Active,High
CASE-0159,Children need school materials and fee support after earthquake damage interrupted household income.,Education,10,Jordan,Irbid,Irbid,32.577081,35.86288,Low,Medium,school kits; uniforms; learning materials,6218.60,4258.27,2025-04-12,Active,Low
CASE-0160,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,17,Jordan,Amman,Amman,31.966948,35.934477,Critical,Low,seasonal clothing; blankets; hygiene kits,14939.92,642.29,2025-10-17,Active,High
CASE-0161,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,52,Egypt,Giza,6th of October,29.974167,30.935217,High,Low,medicines; clinic visits; medical transport,25490.08,2982.14,2025-04-13,Active,High
CASE-0162,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,42,Jordan,Amman,Amman,31.955551,35.921922,High,Critical,medicines; clinic visits; medical transport,28034.16,2133.76,2026-05-02,Active,Critical
CASE-0163,"Families need seasonal clothing, blankets, and basic hygiene items after local displacement.",Clothing,12,Lebanon,Beirut,Beirut,33.895031,35.488124,Medium,High,seasonal clothing; blankets; hygiene kits,5157.12,4340.35,2026-05-26,Funded,Medium
CASE-0164,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,6,Tunisia,Tunis,Tunis,36.812105,10.204227,Medium,Critical,seasonal clothing; blankets; hygiene kits,5344.80,1137.97,2025-12-05,Active,High
CASE-0165,Education support is needed for children whose learning was disrupted by flash flooding.,Education,9,Lebanon,Beirut,Beirut,33.889323,35.5051,Low,Medium,school kits; uniforms; learning materials,6297.66,6291.54,2025-08-06,Completed,Low
CASE-0166,A 3-person household needs food parcels after flash flooding disrupted its income.,Food,3,Egypt,Aswan,Aswan,24.066604,32.917113,Medium,Medium,food parcels; cooking staples; infant nutrition,2647.92,1571.60,2025-05-25,Active,Medium
CASE-0167,Children need school materials and fee support after earthquake damage interrupted household income.,Education,2,Jordan,Amman,Amman,31.925884,35.953082,Medium,Medium,school kits; uniforms; learning materials,2320.16,2301.37,2026-05-24,Completed,Low
CASE-0168,Families affected by a house fire require staple food supplies for the coming weeks.,Food,14,Lebanon,Beirut,Beirut,33.916119,35.500744,High,High,food parcels; cooking staples; infant nutrition,7530.60,0.00,2026-06-21,Active,High
CASE-0169,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,54,Egypt,Alexandria,Alexandria,31.218988,29.899273,Medium,High,clean water; filtration kits; storage containers,29131.20,459.83,2026-01-08,Active,High
CASE-0170,A 8-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,8,Egypt,Giza,6th of October,29.94455,30.94482,Medium,Medium,temporary shelter; repair materials; mattresses,4770.88,2893.41,2026-02-16,Active,Medium
CASE-0171,Housing repairs and safe temporary accommodation are needed following a severe storm.,Emergency Housing,4,Jordan,Irbid,Irbid,32.566692,35.8624,Medium,Medium,temporary shelter; repair materials; mattresses,3813.44,2215.42,2025-09-12,Active,Medium
CASE-0172,Housing repairs and safe temporary accommodation are needed following a severe storm.,Emergency Housing,17,Egypt,Giza,6th of October,29.94783,30.921917,Critical,Medium,temporary shelter; repair materials; mattresses,14033.48,9604.61,2025-11-26,Active,High
CASE-0173,Children need school materials and fee support after flash flooding interrupted household income.,Education,12,Tunisia,Tunis,Tunis,36.800843,10.159606,Medium,Low,school kits; uniforms; learning materials,4259.52,2305.92,2026-05-13,Active,Medium
CASE-0174,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,18,Egypt,Alexandria,Alexandria,31.197274,29.902435,High,Low,medicines; clinic visits; medical transport,6375.60,5588.00,2026-07-27,Funded,Medium
CASE-0175,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,11,Tunisia,Tunis,Tunis,36.795209,10.157651,Medium,Medium,medicines; clinic visits; medical transport,7372.56,0.00,2025-11-02,Active,High
CASE-0176,Children need school materials and fee support after a severe storm interrupted household income.,Education,27,Egypt,Alexandria,Alexandria,31.205827,29.906069,High,Critical,school kits; uniforms; learning materials,16562.70,0.00,2026-02-19,Active,High
CASE-0177,Housing repairs and safe temporary accommodation are needed following a house fire.,Emergency Housing,35,Tunisia,Tunis,Tunis,36.82594,10.169212,High,Medium,temporary shelter; repair materials; mattresses,28228.20,1722.10,2025-05-23,Active,High
CASE-0178,A 5-person household needs food parcels after a house fire disrupted its income.,Food,5,Lebanon,Beirut,Beirut,33.886687,35.493222,Low,Medium,food parcels; cooking staples; infant nutrition,2861.50,2809.32,2026-05-08,Completed,Low
CASE-0179,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,5,Jordan,Irbid,Irbid,32.565575,35.863183,Medium,Critical,seasonal clothing; blankets; hygiene kits,4243.20,1152.92,2026-08-12,Active,Medium
CASE-0180,A 33-person household needs food parcels after a severe storm disrupted its income.,Food,33,Egypt,Alexandria,Alexandria,31.178871,29.931931,High,Medium,food parcels; cooking staples; infant nutrition,11550.00,1855.38,2025-08-24,Active,High
CASE-0181,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,18,Jordan,Amman,Amman,31.956638,35.948681,High,Medium,medicines; clinic visits; medical transport,12695.76,102.22,2026-06-20,Active,High
CASE-0182,Families affected by local displacement require staple food supplies for the coming weeks.,Food,48,Tunisia,Tunis,Tunis,36.826342,10.196503,Critical,High,food parcels; cooking staples; infant nutrition,27306.72,4966.99,2025-08-12,Active,High
CASE-0183,Children need school materials and fee support after local displacement interrupted household income.,Education,7,Lebanon,Beirut,Beirut,33.895038,35.515026,Low,Critical,school kits; uniforms; learning materials,2978.32,0.00,2025-05-06,Active,Medium
CASE-0184,A 45-person household needs food parcels after flash flooding disrupted its income.,Food,45,Jordan,Amman,Amman,31.931383,35.942546,Critical,Low,food parcels; cooking staples; infant nutrition,19737.00,1125.42,2025-11-27,Active,High
CASE-0185,Housing repairs and safe temporary accommodation are needed following flash flooding.,Emergency Housing,11,Jordan,Irbid,Irbid,32.551242,35.837217,Medium,Medium,temporary shelter; repair materials; mattresses,5966.32,57.56,2025-09-29,Active,High
CASE-0186,A community requires emergency water deliveries because flash flooding disrupted access to safe water.,Water,42,Egypt,Aswan,Aswan,24.066495,32.893359,Medium,Medium,clean water; filtration kits; storage containers,12191.04,2807.84,2025-08-07,Active,Medium
CASE-0187,Children need school materials and fee support after local displacement interrupted household income.,Education,56,Egypt,Aswan,Aswan,24.09429,32.911902,High,Medium,school kits; uniforms; learning materials,28896.56,1332.21,2025-08-31,Active,High
CASE-0188,Housing repairs and safe temporary accommodation are needed following local displacement.,Emergency Housing,10,Jordan,Irbid,Irbid,32.565102,35.852041,Medium,High,temporary shelter; repair materials; mattresses,8024.00,3203.87,2025-12-31,Active,High
CASE-0189,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,55,Egypt,Aswan,Aswan,24.094931,32.88095,Critical,Medium,clean water; filtration kits; storage containers,31820.00,3872.02,2025-10-13,Active,High
CASE-0190,Children need school materials and fee support after local displacement interrupted household income.,Education,16,Tunisia,Tunis,Tunis,36.78732,10.175949,High,Medium,school kits; uniforms; learning materials,12301.52,1124.82,2025-11-23,Active,High
CASE-0191,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,22,Egypt,Giza,6th of October,29.964834,30.911098,High,High,medicines; clinic visits; medical transport,16157.68,3273.77,2026-08-15,Active,High
CASE-0192,People displaced by local displacement require clothing and blankets while they recover.,Clothing,3,Egypt,Cairo,Cairo,30.037914,31.226064,Low,Critical,seasonal clothing; blankets; hygiene kits,2502.78,0.00,2026-09-01,Under Review,Medium
CASE-0193,Families affected by a house fire require staple food supplies for the coming weeks.,Food,27,Tunisia,Tunis,Tunis,36.813189,10.172583,High,High,food parcels; cooking staples; infant nutrition,10117.80,4463.59,2026-07-13,Active,High
CASE-0194,A 14-person household needs food parcels after a house fire disrupted its income.,Food,14,Egypt,Giza,6th of October,29.970164,30.945449,High,Critical,food parcels; cooking staples; infant nutrition,11756.36,0.00,2025-06-03,Active,High
CASE-0195,A 8-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,8,Egypt,Aswan,Aswan,24.065298,32.904646,Low,Medium,temporary shelter; repair materials; mattresses,4432.08,4311.69,2026-01-08,Completed,Low
CASE-0196,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,6,Egypt,Aswan,Aswan,24.091636,32.920415,Medium,Critical,seasonal clothing; blankets; hygiene kits,4063.68,0.00,2025-06-25,Active,High
CASE-0197,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,17,Jordan,Amman,Amman,31.932167,35.952789,Critical,High,medicines; clinic visits; medical transport,10524.68,0.00,2025-06-01,Active,Critical
CASE-0198,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,47,Egypt,Aswan,Aswan,24.078599,32.914238,Medium,High,clean water; filtration kits; storage containers,28390.00,0.00,2026-07-31,Active,High
CASE-0199,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,7,Egypt,Giza,6th of October,29.959342,30.939964,Medium,Medium,food parcels; cooking staples; infant nutrition,4936.80,2229.88,2026-03-12,Active,Medium
CASE-0200,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,115,Egypt,Aswan,Aswan,24.094078,32.890958,High,High,clean water; filtration kits; storage containers,68506.90,4182.57,2025-09-17,Active,High
CASE-0201,People displaced by a house fire require clothing and blankets while they recover.,Clothing,45,Lebanon,Beirut,Beirut,33.88809,35.508764,High,High,seasonal clothing; blankets; hygiene kits,17810.10,1927.42,2026-02-25,Active,High
CASE-0202,"Families need seasonal clothing, blankets, and basic hygiene items after local displacement.",Clothing,24,Egypt,Aswan,Aswan,24.109183,32.91787,High,Medium,seasonal clothing; blankets; hygiene kits,16170.00,2809.53,2025-09-07,Active,High
CASE-0203,A 10-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,10,Egypt,Giza,6th of October,29.959674,30.90834,Medium,Low,temporary shelter; repair materials; mattresses,6092.80,0.00,2025-11-11,Active,Medium
CASE-0204,People displaced by a house fire require clothing and blankets while they recover.,Clothing,9,Jordan,Irbid,Irbid,32.565314,35.850782,Medium,Critical,seasonal clothing; blankets; hygiene kits,6695.28,3210.53,2025-08-15,Active,Medium
CASE-0205,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,6,Lebanon,Beirut,Beirut,33.916539,35.507578,Medium,High,seasonal clothing; blankets; hygiene kits,4855.20,4034.24,2026-08-04,Funded,Medium
CASE-0206,Families affected by earthquake damage require staple food supplies for the coming weeks.,Food,12,Egypt,Giza,6th of October,29.950844,30.919709,Critical,Medium,food parcels; cooking staples; infant nutrition,8772.00,2013.64,2025-10-28,Active,High
CASE-0207,Families affected by a severe storm require staple food supplies for the coming weeks.,Food,29,Egypt,Cairo,Cairo,30.051795,31.25185,High,Low,food parcels; cooking staples; infant nutrition,19160.68,1624.66,2026-07-09,Active,Medium
CASE-0208,A 10-person household needs food parcels after a severe storm disrupted its income.,Food,10,Tunisia,Tunis,Tunis,36.828516,10.201987,Low,Medium,food parcels; cooking staples; infant nutrition,5192.00,1086.70,2026-08-06,Active,Medium
CASE-0209,Education support is needed for children whose learning was disrupted by local displacement.,Education,9,Tunisia,Tunis,Tunis,36.816299,10.186749,Medium,Medium,school kits; uniforms; learning materials,6695.28,1733.71,2025-09-09,Active,Medium
CASE-0210,People displaced by a house fire require clothing and blankets while they recover.,Clothing,25,Egypt,Alexandria,Alexandria,31.215842,29.933341,High,Medium,seasonal clothing; blankets; hygiene kits,18595.50,1135.40,2026-07-15,Active,High
CASE-0211,"A family needs medical assistance after local displacement, including treatment and essential supplies.",Medical Aid,36,Egypt,Cairo,Cairo,30.034649,31.243266,Critical,High,medicines; clinic visits; medical transport,18328.32,3830.74,2025-09-07,Active,Critical
CASE-0212,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,32,Egypt,Giza,6th of October,29.979977,30.923571,High,High,medicines; clinic visits; medical transport,15430.80,4118.16,2026-05-24,Active,High
CASE-0213,"A family needs medical assistance after local displacement, including treatment and essential supplies.",Medical Aid,2,Egypt,Cairo,Cairo,30.040542,31.220003,Medium,Medium,medicines; clinic visits; medical transport,1977.44,1665.75,2025-08-24,Funded,Medium
CASE-0214,"Residents affected by flash flooding need urgent medicines, examinations, and transport to care.",Medical Aid,10,Jordan,Irbid,Irbid,32.547407,35.861055,Low,High,medicines; clinic visits; medical transport,3658.00,2091.16,2025-07-25,Active,Medium
CASE-0215,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,34,Jordan,Amman,Amman,31.932117,35.951245,High,Low,seasonal clothing; blankets; hygiene kits,14476.00,1530.43,2025-07-24,Active,Medium
CASE-0216,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,8,Egypt,Cairo,Cairo,30.05082,31.252452,Medium,Medium,food parcels; cooking staples; infant nutrition,5108.16,4882.52,2025-05-27,Completed,Low
CASE-0217,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,10,Jordan,Amman,Amman,31.92503,35.951703,Medium,High,school kits; uniforms; learning materials,5848.00,5012.20,2026-04-18,Funded,Medium
CASE-0218,People displaced by earthquake damage require clothing and blankets while they recover.,Clothing,7,Jordan,Amman,Amman,31.94731,35.950666,Low,Critical,seasonal clothing; blankets; hygiene kits,4638.58,3006.42,2026-02-12,Active,Medium
CASE-0219,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,8,Egypt,Giza,6th of October,29.951331,30.923,Low,High,seasonal clothing; blankets; hygiene kits,5338.32,2189.42,2025-04-02,Active,Medium
CASE-0220,People displaced by a house fire require clothing and blankets while they recover.,Clothing,53,Egypt,Cairo,Cairo,30.031707,31.249103,High,High,seasonal clothing; blankets; hygiene kits,38849.58,1484.68,2025-05-26,Active,High
CASE-0221,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,46,Egypt,Cairo,Cairo,30.028077,31.228208,Critical,High,medicines; clinic visits; medical transport,27499.36,986.54,2026-07-09,Active,Critical
CASE-0222,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,10,Lebanon,Beirut,Beirut,33.892118,35.486384,Low,Critical,medicines; clinic visits; medical transport,4849.80,2925.37,2026-01-01,Active,Medium
CASE-0223,"Families need seasonal clothing, blankets, and basic hygiene items after earthquake damage.",Clothing,12,Jordan,Amman,Amman,31.92752,35.935565,Medium,Medium,seasonal clothing; blankets; hygiene kits,9384.00,4430.08,2025-12-10,Active,Medium
CASE-0224,"Families need seasonal clothing, blankets, and basic hygiene items after earthquake damage.",Clothing,9,Tunisia,Tunis,Tunis,36.82297,10.163562,High,High,seasonal clothing; blankets; hygiene kits,5738.04,3505.49,2025-12-22,Active,Medium
CASE-0225,A 2-person household needs food parcels after flash flooding disrupted its income.,Food,2,Tunisia,Tunis,Tunis,36.791923,10.192663,Low,High,food parcels; cooking staples; infant nutrition,1633.12,1217.28,2025-10-11,Active,Low
CASE-0226,Children need school materials and fee support after a house fire interrupted household income.,Education,11,Egypt,Alexandria,Alexandria,31.186529,29.928527,High,High,school kits; uniforms; learning materials,9652.72,3220.27,2025-08-19,Active,High
CASE-0227,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,39,Jordan,Amman,Amman,31.95079,35.914773,High,Critical,medicines; clinic visits; medical transport,30334.92,0.00,2025-11-19,Active,Critical
CASE-0228,Families need clean drinking water and storage containers after flash flooding affected local supplies.,Water,55,Jordan,Irbid,Irbid,32.539874,35.850488,Medium,Medium,clean water; filtration kits; storage containers,39521.60,6302.02,2026-06-16,Active,High
CASE-0229,Children need school materials and fee support after flash flooding interrupted household income.,Education,13,Egypt,Cairo,Cairo,30.065973,31.242231,High,Medium,school kits; uniforms; learning materials,8393.00,1646.35,2026-07-19,Active,High
CASE-0230,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,26,Lebanon,Beirut,Beirut,33.886039,35.481076,High,High,seasonal clothing; blankets; hygiene kits,16240.84,0.00,2025-07-14,Active,High
CASE-0231,People displaced by earthquake damage require clothing and blankets while they recover.,Clothing,11,Tunisia,Tunis,Tunis,36.793363,10.188488,Medium,Low,seasonal clothing; blankets; hygiene kits,6519.84,2658.41,2025-04-26,Active,Medium
CASE-0232,Housing repairs and safe temporary accommodation are needed following local displacement.,Emergency Housing,17,Egypt,Cairo,Cairo,30.062392,31.211932,Critical,Critical,temporary shelter; repair materials; mattresses,13214.76,6244.72,2026-04-16,Active,Critical
CASE-0233,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,11,Egypt,Alexandria,Alexandria,31.2006,29.933789,Medium,High,medicines; clinic visits; medical transport,5652.16,4012.89,2026-01-01,Active,Medium
CASE-0234,A 37-person household needs food parcels after a severe storm disrupted its income.,Food,37,Lebanon,Beirut,Beirut,33.914953,35.51733,Critical,Low,food parcels; cooking staples; infant nutrition,18985.36,208.58,2025-09-12,Active,High
CASE-0235,A 12-person household needs food parcels after a severe storm disrupted its income.,Food,12,Jordan,Irbid,Irbid,32.552296,35.857845,Low,Critical,food parcels; cooking staples; infant nutrition,6910.08,1041.92,2025-12-14,Active,High
CASE-0236,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,11,Egypt,Cairo,Cairo,30.059617,31.250641,Medium,High,food parcels; cooking staples; infant nutrition,7387.52,2861.36,2025-08-31,Active,Medium
CASE-0237,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,3,Egypt,Alexandria,Alexandria,31.192586,29.931849,Medium,Medium,seasonal clothing; blankets; hygiene kits,2652.00,2638.23,2026-04-27,Completed,Low
CASE-0238,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,2,Egypt,Alexandria,Alexandria,31.214606,29.894765,Medium,High,medicines; clinic visits; medical transport,2015.52,1951.07,2025-12-31,Completed,Medium
CASE-0239,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,22,Egypt,Giza,6th of October,29.945676,30.906271,High,High,school kits; uniforms; learning materials,8534.68,0.00,2025-10-26,Active,High
CASE-0240,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,11,Egypt,Giza,6th of October,29.958203,30.92853,Medium,High,medicines; clinic visits; medical transport,8030.80,1756.84,2026-08-07,Active,High
CASE-0241,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,9,Egypt,Aswan,Aswan,24.073567,32.922067,Medium,Critical,medicines; clinic visits; medical transport,6266.88,0.00,2026-01-21,Active,High
CASE-0242,"Families need seasonal clothing, blankets, and basic hygiene items after local displacement.",Clothing,4,Egypt,Aswan,Aswan,24.075167,32.886817,Medium,Critical,seasonal clothing; blankets; hygiene kits,2464.32,1628.61,2025-05-14,Active,Medium
CASE-0243,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,7,Jordan,Amman,Amman,31.95562,35.920815,Medium,Medium,medicines; clinic visits; medical transport,4070.48,2877.89,2026-06-26,Active,Medium
CASE-0244,A 9-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,9,Egypt,Alexandria,Alexandria,31.202877,29.90393,Medium,High,temporary shelter; repair materials; mattresses,7576.56,0.00,2026-03-08,Active,High
CASE-0245,A 57-person household needs food parcels after a severe storm disrupted its income.,Food,57,Jordan,Irbid,Irbid,32.541596,35.869584,Critical,Critical,food parcels; cooking staples; infant nutrition,35862.00,1353.46,2026-02-10,Active,Critical
CASE-0246,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,51,Tunisia,Tunis,Tunis,36.800287,10.180911,High,Critical,medicines; clinic visits; medical transport,41127.24,0.00,2026-05-18,Active,Critical
CASE-0247,Education support is needed for children whose learning was disrupted by flash flooding.,Education,3,Egypt,Giza,6th of October,29.950587,30.930656,Medium,Critical,school kits; uniforms; learning materials,2627.52,1476.81,2025-04-10,Active,Medium
